"Feestdag","Datum"
"Dodenherdenking 2019","04 May 2019"
"Dierendag 2019","04 Oct 2019"
"Drie Koningen 2019","06 Jan 2019"
"Moederdag 2019","12 May 2019"
"Halloween 2019","31 Oct 2019"
"Valentijnsdag 2019","14 Feb 2019"
"Vaderdag 2019","16 Jun 2019"
"Prinsjesdag 2019","17 Sep 2019"
"Sint Maarten 2019","11 Nov 2019"
"Black Friday 2019","29 Nov 2019"
"Sinterklaas 2019","05 Dec 2019"
"Oudejaarsdag 2019","31 Dec 2019"
